"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"DC.ODA.TOTL.KD","Economic Policy & Debt: Official development assistance","Net ODA provided, total (constant 2015 US$)","","Net Official development assistance (ODA) comprises grants or loans to developing countries and territories on the OECD/DAC list of aid recipients that are undertaken by the official sector with promotion of economic development and welfare as the main objective and at concessional financial terms. Data are in constant 2015 U.S. dollars.","","Annual","","","","","","","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.","","","","","","CC BY-4.0",
"DC.ODA.UNTD.CD","Economic Policy & Debt: Official development assistance","Bilateral ODA commitments that is untied (current US$)","","Bilateral official development assistance (ODA) commitments are firm obligations, expressed in writing and backed by the necessary funds, undertaken by official bilateral donors to provide specified assistance to a recipient country or a multilateral organization. Bilateral commitments are recorded in the full amount of expected transfer, irrespective of the time required for completing disbursements. Untied bilateral official development assistance is assistance from country to country for which the associated goods and services may be fully and freely procured in substantially all countries. OECD DAC.","","Annual","","","","","","","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.","","","","","","CC BY-4.0",
"DC.ODA.UNTD.ZS","Economic Policy & Debt: Official development assistance","Bilateral ODA commitments that is untied (% of bilateral ODA commitments)","","Bilateral official development assistance (ODA) commitments are firm obligations, expressed in writing and backed by the necessary funds, undertaken by official bilateral donors to provide specified assistance to a recipient country or a multilateral organization. Bilateral commitments are recorded in the full amount of expected transfer, irrespective of the time required for completing disbursements. Untied bilateral official development assistance is assistance from country to country for which the associated goods and services may be fully and freely procured in substantially all countries.","","Annual","","","Weighted average","","","","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.","","","","","","CC BY-4.0",
"DT.HPC.COMR.PV","Economic Policy & Debt: Official development assistance","Debt relief committed under HIPC initiative, cumulative US$ in end-2013 NPV terms","","Debt relief is committed as of the decision point (assuming full participation of creditors) under the enhanced HIPC Initiative. It is calculated as the amount needed to bring the net present value (NPV) of the country's debt level to the thresholds established by the HIPC Initiative (150 percent of exports or in certain cases 250 percent of fiscal revenues). Topping-up assistance and assistance provided under the original HIPC Initiative were committed in net present value terms as of the decision point and are converted to end-2012 terms.","","Annual","","","","","","","World Bank, Economic Policy and Debt Department.","","","","","","CC BY-4.0",
"DT.HPC.MDRI.PV","Economic Policy & Debt: Official development assistance","Debt relief delivered in full under MDRI initiative, cumulative US$ in end-2013 NPV terms","","Debt relief delivered in full under MDRI initiative is the net present value of debt relief from International Development Association, International Monetary Fund, African Development Fund, and Inter-American Development Bank and delivered to countries having reached the HIPC completion point converted to end-2012 terms.","","Annual","","","","","","","World Bank, Economic Policy and Debt Department.","","","","","","CC BY-4.0",
"DT.HPC.STTS","Economic Policy & Debt: Official development assistance","Status under enhanced HIPC initiative","","Indicator shows the status of heavily indebted poor countries country under the enhanced HIPC initiative. Heavily indebted poor countries reach HIPC decision point if they have a track record of macroeconomic stability, have prepared an Interim Poverty Reduction Strategy through a participatory process, and have cleared or reached an agreement on a process to clear, the outstanding arrears to multilateral creditors. The amount of debt relief necessary to bring countries’ debt indicators to HIPC thresholds is calculated, and countries begin receiving debt relief. Heavily indebted poor countries reach HIPC completion point if they maintain macroeconomic stability under a Poverty Reduction and Growth Facility (PRGF) supported program, carry out key structural and social reforms agreed on at the decision point, and implement satisfactorily Poverty Reduction Strategy for one year. Debt relief is then provided irrevocably by the country’s creditors.","","Annual","","","","","","","World Bank, Economic Policy and Debt Department.","","","","","","CC BY-4.0",
"DT.HPC.TOTL.PV","Economic Policy & Debt: Official development assistance","Debt relief committed under HIPC and MDRI initiatives, cumulative US$ in end-2013 NPV terms","","Debt relief is committed as of the decision point (assuming full participation of creditors) under the enhanced HIPC Initiative. It is calculated as the amount needed to bring the net present value (NPV) of the country's debt level to the thresholds established by the HIPC Initiative (150 percent of exports or in certain cases 250 percent of fiscal revenues). Topping-up assistance and assistance provided under the original HIPC Initiative were committed in net present value terms as of the decision point and are converted to end-2012 terms. Debt relief delivered in full under MDRI initiative is the net present value of debt relief from International Development Association, International Monetary Fund, African Development Fund, and Inter-American Development Bank and delivered to countries having reached the HIPC completion point converted to end-2012 terms.","","Annual","","","","","","","World Bank, Economic Policy and Debt Department.","","","","","","CC BY-4.0",
"DT.ODA.ALLD.CD","Economic Policy & Debt: Official development assistance","Net official development assistance and official aid received (current US$)","Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients. Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in current U.S. dollars.","Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in current U.S. dollars.","","Annual","","","Sum","","","","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.","","","","","","CC BY-4.0",
"DT.ODA.ODAT.CD","Economic Policy & Debt: Official development assistance","Net official development assistance received (current US$)","Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients. Data are in current U.S. dollars.","Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Data are in current U.S. dollars.","","Annual","","","Sum","Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The nominal values may overstate the real value of aid to recipients. Changes in international prices and exchange rates can reduce the purchasing power of aid. Tying aid, still prevalent though declining in importance, also tends to reduce its purchasing power. Tying requires recipients to purchase goods and services from the donor country or from a specified group of countries. Such arrangements prevent a recipient from misappropriating or mismanaging aid receipts, but they may also be motivated by a desire to benefit donor country suppliers.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.","","","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.","The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on donor reports on bilateral programs by DAC members using standard questionnaires issued by the DAC Secretariat. DAC has 24 members - 23 individual economies and 1 multilateral institution (European Union institutions). 

Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of DAC, by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Data are in current U.S. dollars.

Total net disbursements is the sum of grants, capital subscriptions (deposit basis), recoveries and total net loans and other long-term capital.

The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.


Flows are transfers of resources, either in cash or in the form of commodities or services measured on a cash basis. Short-term capital transactions (with one year or less maturity) are not counted. Repayments of the principal (but not interest) of ODA loans are recorded as negative flows. Proceeds from official equity investments in a developing country are reported as ODA, while proceeds from their later sale are recorded as negative flows.

The official development assistance (ODA) estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database.","DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

DAC statistics aim to meet the needs of policy makers in the field of development co-operation, and to provide a means of assessing the comparative performance of aid donors. DAC statistics are used extensively in the Peer Reviews conducted for each DAC member every four to five years, and have a wide range of other applications. They are used to measure donors' compliance with various international recommendations in the field of development co-operation (terms, volume), and are indispensable for analysis of virtually every aspect of development and development co-operation.

From 1960 to 1990, official development assistance (ODA) flows from DAC countries to developing countries rose steadily, but then fell sharply in the 1990s. Since then, a series of high-profile international conferences have boosted ODA flows. In the mid-2000s, ODA once again rose due to exceptional debt relief operations for Iraq and Nigeria. Despite the recent financial crisis, ODA flows have continued to rise and in the early 2010s reached their highest real level ever at about USD 130 billion. This demonstrates effectiveness of aid pledges, especially when they are made on the basis of adequate resources and backed by strong political will.","","","","CC BY-4.0",
"DT.ODA.ODAT.GN.ZS","Economic Policy & Debt: Official development assistance","Net ODA received (% of GNI)","Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients.","Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","","Annual","","","Weighted Average","Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Ratio of aid to gross national income (GNI) provides measures of recipient country's dependency on aid. But care must be taken in drawing policy conclusions. For foreign policy reasons some countries have traditionally received large amounts of aid. Thus aid dependency ratio may reveal as much about a donor's interests as about a recipient's needs. 

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.","","","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. World Bank GNI estimates are used for the denominator.","The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.

The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on reporting by DAC members using standard questionnaires issued by the DAC Secretariat.

The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.

Flows are transfers of resources, either in cash or in the form of commodities or services measured on a cash basis. Short-term capital transactions (with one year or less maturity) are not counted. Repayments of the principal (but not interest) of ODA loans are recorded as negative flows. Proceeds from official equity investments in a developing country are reported as ODA, while proceeds from their later sale are recorded as negative flows.

The official development assistance estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database. Net ODA received as a percent of GNI is calculated using values in U.S. dollars converted at official exchange rates.","The ratio of aid to GNI provides a measure of recipient country's dependency on aid. Ratios of aid are generally much higher in Sub-Saharan Africa than in other regions, and they increased in the 1980s. High ratios are due only in part to aid flows. Many African countries saw severe erosion in their terms of trade in the 1980s, along with weak policies, falling incomes, imports, and investment. Thus the increase in aid dependency ratios reflects events affecting both the numerator (aid) and the denominator (GNI).

DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

DAC statistics aim to meet the needs of policy makers in the field of development co-operation, and to provide a means of assessing the comparative performance of aid donors. DAC statistics are used extensively in the Peer Reviews conducted for each DAC member every four to five years, and have a wide range of other applications. They are used to measure donors' compliance with various international recommendations in the field of development co-operation (terms, volume), and are indispensable for analysis of virtually every aspect of development and development co-operation.

From 1960 to 1990, official development assistance (ODA) flows from DAC countries to developing countries rose steadily, but then fell sharply in the 1990s. Since then, a series of high-profile international conferences have boosted ODA flows. In the mid-2000s, ODA once again rose due to exceptional debt relief operations for Iraq and Nigeria. Despite the recent financial crisis, ODA flows have continued to rise and in the early 2010s reached their highest real level ever at about US $130 billion. This demonstrates effectiveness of aid pledges, especially when they are made on the basis of adequate resources and backed by strong political will.","","","","CC BY-4.0",
